# generated by ews.pipeline on 2026-05-12T02:21:30, loader=derived
ticker,date,ret_1m,ret_3m,ret_6m,vol_3m,vol_6m,drawdown_12m
GE,2011-03-31,-0.033734553659857,0.10381386350568156,0.24375914328616832,0.2557044841733446,0.23543511980188286,0.2836858788632392
INTC,2011-03-31,-0.07388743480178128,-0.03229443279441202,0.061603248474296324,0.18009319942353266,0.17436178660691115,0.25968727845451683
PFE,2011-03-31,0.02731398200643853,0.1721053635557952,0.20697068173797994,0.19444909709594763,0.17655946289478058,0.17694986222120115
SPG,2011-03-31,-0.002048781081135931,0.08526408700557209,0.16284865290242445,0.1885885134733549,0.20740955892209173,0.16151021312708974
XOM,2011-03-31,-0.019692649510521965,0.15663791869059018,0.36082292624405143,0.19783955002019132,0.17073085815925818,0.17803204521533006
AAL,2011-04-30,0.04362815978815693,-0.08366924905970963,-0.22900743382148547,0.5098748135168456,0.47697028639712175,0.3421706135565204
BBBY,2011-04-30,-0.11577612071138532,-0.06836464159167988,0.03653987894807642,0.40672638174944625,0.4477546129498501,0.46948162458578757
F,2011-04-30,0.03755836085589692,-0.03009455786685522,0.09483323729907078,0.28427452478337323,0.34521267111066434,0.2571430785913739
GE,2011-04-30,0.019950585576199664,0.022419642775480586,0.2954965832570837,0.22128298136477328,0.22519160814761824,0.27475971992162496
INTC,2011-04-30,0.1471754812586652,0.08788459041715613,0.17350454727942477,0.2477759019020548,0.20788565473830606,0.22913278670574364
PFE,2011-04-30,0.03249608500246315,0.1630351774788077,0.22902356454519235,0.20583251941429068,0.17614108700847136,0.17694986222120115
SPG,2011-04-30,0.06886908974126094,0.13759380223445272,0.21147815307510687,0.17130024175890948,0.20702011836455017,0.16151021312708974
XOM,2011-04-30,0.04576295397209962,0.09622798891779283,0.33855561561740855,0.20213957507939573,0.17277623211140433,0.16046311944191277
AAL,2011-05-31,0.0044152964609629475,0.1417821012581879,-0.18458759707953076,0.5025163775978864,0.5008950843362178,0.3421706135565204
BBBY,2011-05-31,0.04532375048421278,-0.02022927796886287,-0.0577172723034548,0.34873447727235896,0.34650899669080587,0.45254532298044037
F,2011-05-31,-0.03430411305439052,0.017735473254175016,-0.06398964900299697,0.24105537116362322,0.31042637126048933,0.254390745803862
GE,2011-05-31,-0.04101559152734768,-0.033464900765410865,0.2591163396767535,0.1986035962006999,0.223686116590551,0.15087398242156644
INTC,2011-05-31,-0.009743451850948492,0.05569008684663279,0.08123115368022704,0.25196615561664165,0.21100953217799842,0.18699564965998497
PFE,2011-05-31,0.030335472952669473,0.12859027315097404,0.3426617676157393,0.18568504518461612,0.17950854993746534,0.08891762822786964
SPG,2011-05-31,0.027780842784476123,0.12750794135876053,0.21598869096594808,0.15018217843511264,0.17295570454514772,0.14569970353515893
XOM,2011-05-31,-0.03480003194511316,-0.013359392213410648,0.2131368312892472,0.18453073026822023,0.17411567468958966,0.10391286587308787
AAL,2011-06-30,-0.02195387694849027,0.014806299921676036,-0.10989006435819082,0.4392235897568015,0.5032283802486986,0.3421706135565204
BBBY,2011-06-30,0.05694449098757892,-0.018064498901367188,-0.07645626882320522,0.2994668702235849,0.349262442091026,0.390489924765081
F,2011-06-30,-0.02750344583652542,-0.09036937572861692,-0.17867785536898417,0.23760464023587874,0.32762710098307385,0.32038315101109294
GE,2011-06-30,-0.003923209481312417,-0.06513756603409127,0.046839424717564304,0.18454910636879862,0.22302227402815092,0.15226985670506246
INTC,2011-06-30,0.003169059774113192,0.13255710093789608,0.07099871217414977,0.26591850082804025,0.2268633453884742,0.18251623402903508
PFE,2011-06-30,-0.019047404800322965,0.02057979544816435,0.20035015663713707,0.18832771611686516,0.19142637504786306,0.07480198497015855
SPG,2011-06-30,0.015730382501787377,0.0926203840212263,0.185228285161805,0.1614771385977803,0.1748554574522563,0.10152785668226907
XOM,2011-06-30,0.0006149390680718625,-0.033519451393905,0.1251764428267368,0.18217427851767967,0.19063257587538956,0.12235198352985827
AAL,2011-07-31,-0.2996631983610084,-0.3112583025471808,-0.3709678258185394,0.44355761273417815,0.47719040437978666,0.5045568372002117
BBBY,2011-07-31,-0.16622868871600915,-0.08705036484561512,-0.1494638394441995,0.3455313958082812,0.3758794492086277,0.3733333540551456
F,2011-07-31,-0.11457566053903256,-0.20970864234613185,-0.2344828048136628,0.24697117348142317,0.26627528952646484,0.3501861791529223
GE,2011-07-31,-0.0503713079102015,-0.11829632927972944,-0.09720715878396557,0.19370528661124878,0.20792797779720543,0.1550999242568261
INTC,2011-07-31,0.007671721326216963,-0.017662244400822202,0.05759100638834047,0.21886724620544556,0.2332786776228528,0.1581657045984371
PFE,2011-07-31,-0.06553381142199155,-0.07533981016263336,0.07797658968288501,0.1820269533554137,0.19572904406710528,0.1025639569726405
SPG,2011-07-31,0.036823139157923235,0.049109434525992146,0.2051301607346172,0.1774971588681582,0.17406575718955763,0.10152785668226907
XOM,2011-07-31,-0.019538282729653633,-0.07735354566945041,-0.000180783791214556,0.1819990152347298,0.19332746386364327,0.12235198352985827
AAL,2011-08-31,-0.052542263323161364,-0.37120342400043327,-0.3248793124122985,0.6518120243930147,0.5802161270092396,0.5882353803935103
BBBY,2011-08-31,-0.12749997774759925,-0.24999998292130532,-0.37079323010419807,0.5271705029433235,0.44195178770672666,0.4323699348039542
F,2011-08-31,-0.04549344567955249,-0.2062811398445662,-0.22884873887759105,0.454934822456487,0.36912740675368794,0.47152735731335454
GE,2011-08-31,-0.06639977894416615,-0.12624188161871097,-0.1927280973247555,0.34086276232333385,0.2784046520315781,0.28813290588039747
INTC,2011-08-31,-0.07702937207992133,-0.06458707593441493,-0.04980781074582785,0.2820664832026809,0.2680795782076173,0.18855307652875128
PFE,2011-08-31,0.0526899145790547,-0.07909827544497006,-0.014375913729353762,0.3060374004952485,0.25126452430782903,0.21465175296554256
SPG,2011-08-31,0.025288102202699836,0.025999113896785664,0.11714475525171997,0.39382861487474435,0.29739678562504934,0.18506442719246474
XOM,2011-08-31,-0.04131714014643151,-0.08217745732837822,-0.11928313766961884,0.31520603067365816,0.25825904658076476,0.21723495256337724
AAL,2011-09-30,0.03969733178451307,-0.3491123714905139,-0.3707093355358524,0.7761590680650986,0.6306209853655841,0.5981773573118377
BBBY,2011-09-30,-0.0785288199702806,-0.39609119039799723,-0.39805190341632146,0.5902213125375065,0.46914371505744007,0.47803467449716003
